WKT,gid,stop_a,stop_b,koereplan_version,meter
"LINESTRING (10.149497 55.9714744,10.149435 55.971159,10.149396 55.970958,10.149291 55.970416,10.149202 55.969987,10.14915 55.969736,10.149107 55.96953,10.149098 55.969485,10.148971 55.968847,10.148875 55.968365,10.148809 55.968078,10.148709 55.967637,10.148633 55.967632,10.148563 55.967613,10.148508 55.967583,10.14847 55.967534,10.148469 55.967482,10.148497 55.96744,10.148548 55.967407,10.148617 55.967385,10.148694 55.967377,10.1486226 55.9670957)","177739","727000701","727013201",K22,"508"
"LINESTRING (10.149497 55.9714744,10.149435 55.971159,10.149396 55.970958,10.149291 55.970416,10.149202 55.969987,10.14915 55.969736,10.149107 55.96953,10.149098 55.969485,10.148971 55.968847,10.148875 55.968365,10.148809 55.968078,10.148709 55.967637,10.148633 55.967632,10.148563 55.967613,10.148508 55.967583,10.14847 55.967534,10.148469 55.967482,10.148497 55.96744,10.148548 55.967407,10.148617 55.967385,10.148694 55.967377,10.148528 55.966723,10.148378 55.966011,10.148246 55.965313,10.148184 55.964987,10.147936 55.963681,10.147943 55.963407,10.147983 55.96311,10.148095 55.962813,10.148261 55.962536,10.148484 55.962233,10.151115 55.959392,10.152652 55.957717,10.153026 55.957281,10.153271 55.956843,10.153386 55.956464,10.1534 55.956143,10.153352 55.955777,10.1526774 55.952889,10.152003 55.950001,10.151993 55.949954,10.151447 55.947628,10.151105 55.946168,10.150768 55.944744,10.149864 55.940823,10.149752 55.940128,10.149767 55.939857,10.149813 55.939657,10.149937 55.939304,10.1512856 55.9372895,10.152634 55.935275,10.153064 55.934633,10.15325 55.934334,10.153394 55.934063,10.153525 55.933752,10.153639 55.933368,10.154225 55.931212,10.154373 55.930668,10.154446 55.930407,10.154532 55.930102,10.154634 55.929735,10.154662 55.929634,10.154703 55.929319,10.154692 55.92906,10.154664 55.928821,10.1546175 55.9285632)","198952","727000701","727013302",K22,"4938"
"LINESTRING (10.149497 55.9714744,10.149435 55.971159,10.149396 55.970958,10.149291 55.970416,10.149202 55.969987,10.14915 55.969736,10.149107 55.96953,10.149098 55.969485,10.148971 55.968847,10.148875 55.968365,10.148809 55.968078,10.148709 55.967637,10.148633 55.967632,10.148563 55.967613,10.148508 55.967583,10.14768 55.967585,10.1476435 55.9675881,10.146398 55.967695,10.145144 55.967813,10.142857 55.968033,10.142711 55.968048,10.142737 55.968243,10.142742 55.968616,10.142721 55.968879,10.142656 55.969218,10.14263 55.969354,10.142577 55.96965,10.142578 55.969865,10.142586 55.969891,10.142629 55.970034,10.14277 55.970274,10.1428389 55.9703563)","198629","727000701","727013802",K22,"1071"
"LINESTRING (10.149497 55.9714744,10.149568 55.971835,10.149413 55.971851,10.148962 55.971811,10.148896 55.971805,10.147952 55.971702,10.147835 55.97169,10.147175 55.971619,10.147004 55.971601,10.146899 55.97159,10.1466396 55.9715631)","198581","727000701","727014001",K22,"226"
"LINESTRING (10.149497 55.9714744,10.149568 55.971835,10.149619 55.972205,10.149676 55.972577,10.149694 55.972716,10.149733 55.97297,10.149742 55.973024,10.149772 55.973198,10.149779 55.973236,10.14981 55.973385,10.149839 55.973523,10.149973 55.974014,10.1499533 55.9740143,10.148958 55.974032,10.148716 55.974036,10.14854 55.974031,10.147966 55.973977,10.146746 55.973796,10.146578 55.973771,10.146369 55.97374,10.146032 55.973694,10.145665 55.973639,10.145309 55.973574,10.145027 55.973522,10.14473 55.973447,10.144285 55.973249,10.143812 55.973038,10.143694 55.972988,10.142391 55.972422,10.14223 55.972353,10.142056 55.97228,10.141244 55.971936,10.14105 55.971882,10.140864 55.971857,10.139617 55.971736,10.139393 55.971714,10.1393869 55.971732,10.139393 55.971714,10.139035 55.971668,10.138792 55.971667,10.1387698 55.9716682,10.138572 55.971679,10.138396 55.971696,10.138164 55.971737,10.136638 55.972093,10.136435 55.97214,10.136272 55.972178,10.135916 55.972236,10.135894 55.972398,10.135853 55.972718,10.135821 55.973009,10.135802 55.973087,10.135733 55.973393,10.135693 55.973568,10.135605 55.973832,10.135025 55.975356,10.134469 55.97671,10.134394 55.976896,10.134332 55.977059,10.134268 55.977234,10.134204 55.977446,10.134131 55.9777,10.134028 55.978289,10.133978 55.978998,10.133999 55.979514,10.13403 55.980008,10.134048 55.980299,10.134081 55.980755,10.134093 55.981134,10.133925 55.981135,10.13376 55.981128,10.133704 55.981118,10.133596 55.981098,10.133457 55.981057,10.13333 55.980988,10.133231 55.980908,10.13318 55.980824,10.133162 55.980739,10.133171 55.980654,10.1332115 55.9805766)","199003","727000701","727017901",K22,"2352"
"LINESTRING (10.149497 55.9714744,10.149568 55.971835,10.149619 55.972205,10.149676 55.972577,10.149694 55.972716,10.149733 55.97297,10.149742 55.973024,10.149772 55.973198,10.149779 55.973236,10.14981 55.973385,10.149839 55.973523,10.149973 55.974014,10.1499533 55.9740143,10.148958 55.974032,10.148716 55.974036,10.14854 55.974031,10.147966 55.973977,10.146746 55.973796,10.146578 55.973771,10.146369 55.97374,10.146032 55.973694,10.145665 55.973639,10.145309 55.973574,10.145027 55.973522,10.14473 55.973447,10.144285 55.973249,10.143812 55.973038,10.143694 55.972988,10.142391 55.972422,10.14223 55.972353,10.142056 55.97228,10.141244 55.971936,10.14105 55.971882,10.140864 55.971857,10.139617 55.971736,10.139393 55.971714,10.139035 55.971668,10.138792 55.971667,10.138572 55.971679,10.138396 55.971696,10.138164 55.971737,10.136638 55.972093,10.136435 55.97214,10.136272 55.972178,10.135916 55.972236,10.135692 55.972183,10.135249 55.972056,10.134345 55.971798,10.134004 55.971699,10.133628 55.971653,10.133301 55.971623,10.133012 55.971618,10.13253 55.971652,10.131409 55.971729,10.131028 55.971776,10.130878 55.971811,10.1308722 55.9718123,10.128113 55.972462,10.126911 55.972765,10.125986 55.973024,10.125394 55.973218,10.125232 55.973288,10.124921 55.973419,10.123706 55.974078,10.122754 55.97459,10.122352 55.974817,10.1214782 55.9753093)","198616","727000701","727020101",K22,"2291"
"LINESTRING (10.149497 55.9714744,10.149435 55.971159,10.149396 55.970958,10.149291 55.970416,10.149202 55.969987,10.14915 55.969736,10.149107 55.96953,10.149098 55.969485,10.148971 55.968847,10.148875 55.968365,10.148809 55.968078,10.148709 55.967637,10.148633 55.967632,10.148563 55.967613,10.148508 55.967583,10.14847 55.967534,10.148469 55.967482,10.148497 55.96744,10.148548 55.967407,10.148617 55.967385,10.148694 55.967377,10.148773 55.967384,10.148843 55.967405,10.148896 55.967438,10.148925 55.96748,10.150347 55.967193,10.151894 55.96688,10.153208 55.966615,10.155414 55.966195,10.157717 55.965841,10.1583723 55.9657346,10.158986 55.965635,10.16124 55.965268,10.163494 55.964901,10.164864 55.964665,10.165968 55.964458,10.167051 55.964237,10.168362 55.963925,10.16968 55.963574,10.170984 55.963213,10.174257 55.962279,10.176911 55.961508,10.182224 55.959963,10.184782 55.959219,10.185625 55.958946,10.186613 55.9586,10.187803 55.958121,10.1879957 55.9580331,10.188547 55.957782,10.189983 55.957068,10.189811 55.956965,10.189656 55.956899,10.189397 55.956824,10.189215 55.956795,10.189032 55.956789,10.189001 55.956618,10.189041 55.956518,10.189135 55.956394,10.189546 55.955999,10.189688 55.955862,10.190251 55.955319,10.190439 55.955062,10.19045 55.955039,10.190701 55.95451,10.190721 55.954262,10.190718 55.954222,10.190697 55.953979,10.1907212 55.9538829)","198688","727000701","727100501",K22,"3748"
"LINESTRING (10.149497 55.9714744,10.149568 55.971835,10.149619 55.972205,10.149676 55.972577,10.149881 55.972587,10.150273 55.972601,10.15035 55.972604,10.15041 55.97261,10.150612 55.972627,10.150666 55.972631,10.150868 55.972642,10.151282 55.972663,10.15165 55.972682,10.152488 55.972728,10.153047 55.972759,10.153173 55.972776,10.1534 55.972856,10.154259 55.972188,10.154733 55.971896,10.1550958 55.9717084)","198542","727000701","727100901",K22,"526"
"LINESTRING (10.149497 55.9714744,10.149435 55.971159,10.149396 55.970958,10.149291 55.970416,10.149202 55.969987,10.14915 55.969736,10.149107 55.96953,10.149098 55.969485,10.148971 55.968847,10.148875 55.968365,10.148809 55.968078,10.148709 55.967637,10.148633 55.967632,10.148563 55.967613,10.148508 55.967583,10.14847 55.967534,10.148469 55.967482,10.148497 55.96744,10.148548 55.967407,10.148617 55.967385,10.148694 55.967377,10.148528 55.966723,10.148378 55.966011,10.148246 55.965313,10.148184 55.964987,10.147936 55.963681,10.147943 55.963407,10.147983 55.96311,10.148095 55.962813,10.148261 55.962536,10.148484 55.962233,10.151115 55.959392,10.152652 55.957717,10.153026 55.957281,10.153271 55.956843,10.153386 55.956464,10.1534 55.956143,10.153352 55.955777,10.1526774 55.952889,10.152003 55.950001,10.151993 55.949954,10.151447 55.947628,10.151105 55.946168,10.150768 55.944744,10.149864 55.940823,10.149752 55.940128,10.149767 55.939857,10.149813 55.939657,10.149937 55.939304,10.150936 55.937813,10.152634 55.935275,10.153064 55.934633,10.15325 55.934334,10.153376 55.934098,10.153394 55.934063,10.153525 55.933752,10.153639 55.933368,10.154225 55.931212,10.154373 55.930668,10.154446 55.930407,10.154532 55.930102,10.154634 55.929735,10.154662 55.929634,10.154703 55.929319,10.154692 55.92906,10.154664 55.928821,10.154332 55.926977,10.154283 55.926744,10.154248 55.926612,10.154197 55.926502,10.154126 55.926403,10.154057 55.926333,10.153943 55.926243,10.153452 55.92601,10.152639 55.925652,10.15246 55.925573,10.151839 55.925295,10.151245 55.925029,10.150249 55.924591,10.149737 55.924366,10.148338 55.923755,10.147823 55.923529,10.147042 55.923186,10.146956 55.923149,10.14509 55.922334,10.142644 55.921266,10.142406 55.921166,10.141034 55.920544,10.141199 55.92039,10.141287 55.920268,10.141355 55.920147,10.141422 55.919996,10.14145 55.919813,10.14142 55.918955,10.141291 55.917378,10.141227 55.916629,10.141208 55.916467,10.141207 55.916447,10.141163 55.916083,10.141096 55.915513,10.14099 55.914619,10.140951 55.914469,10.140824 55.914309,10.140185 55.913759,10.139818 55.913444,10.13771 55.911623,10.137264 55.91124,10.137155 55.911106,10.13705 55.910919,10.136971 55.910705,10.136934 55.910462,10.136978 55.910218,10.137037 55.909884,10.13707 55.90963,10.137049 55.909343,10.136992 55.90908,10.13688 55.908837,10.136576 55.908365,10.136222 55.907794,10.135708 55.90701,10.135499 55.90669,10.135443 55.906578,10.135429 55.906549,10.135347 55.906382,10.135195 55.90589,10.134976 55.90434,10.134732 55.902695,10.13466 55.902469,10.134554 55.902226,10.134413 55.902003,10.134253 55.901805,10.133989 55.901549,10.133764 55.901368,10.133498 55.90119,10.133237 55.901037,10.131305 55.900152,10.13022 55.899661,10.1297 55.899425,10.129083 55.899146,10.12834 55.89877,10.124887 55.896921,10.124269 55.896502,10.123883 55.896117,10.123605 55.895683,10.123435 55.895233,10.123425 55.894771,10.124064 55.891502,10.124077 55.891345,10.12374 55.891341,10.122322 55.891369,10.122259 55.891055,10.122072 55.890094,10.121977 55.889621,10.121954 55.889507,10.121879 55.889101,10.121844 55.889022,10.121768 55.888942,10.121659 55.888877,10.121224 55.888704,10.1211264 55.88865)","196899","727000701","727201501",K22,"10302"
"LINESTRING (10.145606 55.9736282,10.145665 55.973639,10.146032 55.973694,10.146369 55.97374,10.146578 55.973771,10.146746 55.973796,10.147966 55.973977,10.14854 55.974031,10.148716 55.974036,10.148958 55.974032,10.149973 55.974014,10.149839 55.973523,10.14981 55.973385,10.149779 55.973236,10.149772 55.973198,10.149742 55.973024,10.149733 55.97297,10.149694 55.972716,10.149676 55.972577,10.149619 55.972205,10.149568 55.971835,10.149497 55.9714744)","182980","727000731","727000701",K22,"563"
